Date,Open,High,Low,Close,Volume
2024-12-02,83.87,84.38,83.62,84.04,0
2024-12-03,83.92,84.43,83.67,84.09,0
2024-12-04,83.97,84.48,83.72,84.14,0
2024-12-05,84.03,84.53,83.78,84.20,0
2024-12-06,84.09,84.60,83.84,84.26,0
2024-12-09,84.04,84.55,83.79,84.21,0
2024-12-10,84.11,84.62,83.86,84.28,0
2024-12-11,84.18,84.69,83.93,84.35,0
2024-12-12,84.26,84.77,84.01,84.43,0
2024-12-13,84.34,84.84,84.08,84.50,0
2024-12-16,84.41,84.92,84.16,84.58,0
2024-12-17,84.49,85.00,84.24,84.66,0
2024-12-18,84.57,85.08,84.32,84.74,0
2024-12-19,84.65,85.16,84.40,84.82,0
2024-12-20,84.73,85.24,84.48,84.90,0
2024-12-23,84.81,85.32,84.56,84.98,0
2024-12-24,84.77,85.28,84.52,84.94,0
2024-12-25,84.85,85.36,84.59,85.02,0
2024-12-26,84.91,85.43,84.66,85.09,0
2024-12-27,84.98,85.49,84.72,85.15,0
2024-12-30,85.04,85.55,84.78,85.21,0
2024-12-31,85.10,85.61,84.84,85.27,0
2025-01-01,85.14,85.66,84.89,85.32,0
2025-01-02,85.19,85.70,84.93,85.36,0
2025-01-03,85.23,85.74,84.97,85.40,0
2025-01-06,85.26,85.77,85.00,85.43,0
2025-01-07,85.28,85.79,85.02,85.45,0
2025-01-08,85.18,85.70,84.93,85.35,0
2025-01-09,85.19,85.70,84.94,85.36,0
2025-01-10,85.19,85.71,84.94,85.36,0
2025-01-13,85.19,85.70,84.93,85.36,0
2025-01-14,85.18,85.69,84.92,85.35,0
2025-01-15,85.16,85.67,84.90,85.33,0
2025-01-16,85.13,85.64,84.88,85.30,0
2025-01-17,85.10,85.61,84.84,85.27,0
2025-01-20,85.06,85.57,84.81,85.23,0
2025-01-21,85.02,85.53,84.76,85.19,0
2025-01-22,84.97,85.48,84.72,85.14,0
2025-01-23,84.81,85.32,84.55,84.98,0
2025-01-24,84.75,85.26,84.50,84.92,0
2025-01-27,84.69,85.20,84.44,84.86,0
2025-01-28,84.63,85.14,84.38,84.80,0
2025-01-29,84.57,85.08,84.31,84.74,0
2025-01-30,84.50,85.01,84.25,84.67,0
2025-01-31,84.44,84.95,84.18,84.61,0
2025-02-03,84.37,84.88,84.12,84.54,0
2025-02-04,84.31,84.82,84.06,84.48,0
2025-02-05,84.25,84.76,84.00,84.42,0
2025-02-06,84.19,84.70,83.94,84.36,0
2025-02-07,84.02,84.53,83.77,84.19,0
2025-02-10,83.97,84.47,83.72,84.14,0
2025-02-11,83.92,84.42,83.67,84.09,0
2025-02-12,83.87,84.38,83.62,84.04,0
2025-02-13,83.83,84.33,83.58,84.00,0
2025-02-14,83.79,84.30,83.54,83.96,0
2025-02-17,83.76,84.26,83.51,83.93,0
