Date,Open,High,Low,Close,Volume
2024-12-02,2599.12,2614.74,2591.30,2604.33,0
2024-12-03,2603.75,2619.40,2595.92,2608.96,0
2024-12-04,2608.68,2624.36,2600.84,2613.91,0
2024-12-05,2613.91,2629.62,2606.05,2619.15,0
2024-12-06,2619.42,2635.17,2611.54,2624.67,0
2024-12-09,2618.28,2634.02,2610.40,2623.52,0
2024-12-10,2624.27,2640.05,2616.38,2629.53,0
2024-12-11,2630.48,2646.29,2622.57,2635.75,0
2024-12-12,2636.87,2652.73,2628.95,2642.16,0
2024-12-13,2643.42,2659.31,2635.47,2648.72,0
2024-12-16,2650.08,2666.02,2642.12,2655.39,0
2024-12-17,2656.83,2672.80,2648.84,2662.15,0
2024-12-18,2663.61,2679.63,2655.61,2668.95,0
2024-12-19,2670.40,2686.46,2662.37,2675.75,0
2024-12-20,2677.15,2693.24,2669.10,2682.51,0
2024-12-23,2683.81,2699.95,2675.75,2689.19,0
2024-12-24,2683.27,2699.40,2675.20,2688.64,0
2024-12-25,2689.62,2705.79,2681.54,2695.01,0
2024-12-26,2695.77,2711.98,2687.67,2701.18,0
2024-12-27,2701.68,2717.92,2693.55,2707.09,0
2024-12-30,2707.30,2723.57,2699.16,2712.72,0
2024-12-31,2712.60,2728.90,2704.44,2718.03,0
2025-01-01,2717.55,2733.88,2709.38,2722.99,0
2025-01-02,2722.12,2738.48,2713.94,2727.57,0
2025-01-03,2726.29,2742.68,2718.09,2731.75,0
2025-01-06,2730.03,2746.44,2721.82,2735.50,0
2025-01-07,2733.33,2749.76,2725.11,2738.81,0
2025-01-08,2728.96,2745.37,2720.76,2734.43,0
2025-01-09,2731.35,2747.77,2723.13,2736.82,0
2025-01-10,2733.27,2749.70,2725.05,2738.74,0
2025-01-13,2734.73,2751.17,2726.51,2740.21,0
2025-01-14,2735.74,2752.19,2727.52,2741.22,0
2025-01-15,2736.32,2752.77,2728.09,2741.80,0
2025-01-16,2736.47,2752.92,2728.24,2741.95,0
2025-01-17,2736.22,2752.67,2727.99,2741.70,0
2025-01-20,2735.60,2752.04,2727.37,2741.08,0
2025-01-21,2734.63,2751.07,2726.41,2740.11,0
2025-01-22,2733.35,2749.78,2725.14,2738.83,0
2025-01-23,2724.58,2740.96,2716.39,2730.04,0
2025-01-24,2722.79,2739.16,2714.61,2728.25,0
2025-01-27,2720.80,2737.16,2712.62,2726.26,0
2025-01-28,2718.66,2735.01,2710.49,2724.11,0
2025-01-29,2716.40,2732.74,2708.24,2721.85,0
2025-01-30,2714.08,2730.40,2705.92,2719.52,0
2025-01-31,2711.73,2728.03,2703.57,2717.16,0
2025-02-03,2709.39,2725.68,2701.24,2714.82,0
2025-02-04,2707.11,2723.38,2698.97,2712.53,0
2025-02-05,2704.92,2721.19,2696.79,2710.35,0
2025-02-06,2702.88,2719.13,2694.75,2708.29,0
2025-02-07,2693.87,2710.06,2685.77,2699.26,0
2025-02-10,2692.20,2708.38,2684.10,2697.59,0
2025-02-11,2690.76,2706.94,2682.67,2696.15,0
2025-02-12,2689.59,2705.76,2681.50,2694.98,0
2025-02-13,2688.69,2704.86,2680.61,2694.08,0
2025-02-14,2688.10,2704.26,2680.02,2693.49,0
2025-02-17,2687.83,2703.99,2679.75,2693.21,0
2025-02-18,2687.88,2704.04,2679.80,2693.26,0
2025-02-19,2688.26,2704.42,2680.18,2693.65,0
2025-02-20,2688.98,2705.15,2680.90,2694.37,0
2025-02-21,2690.04,2706.21,2681.95,2695.43,0
2025-02-24,2684.32,2700.45,2676.25,2689.69,0
2025-02-25,2686.01,2702.16,2677.94,2691.39,0
2025-02-26,2688.01,2704.17,2679.93,2693.39,0
2025-02-27,2690.29,2706.46,2682.20,2695.68,0
2025-02-28,2692.83,2709.02,2684.74,2698.23,0
2025-03-03,2695.62,2711.82,2687.51,2701.02,0
2025-03-04,2698.61,2714.84,2690.50,2704.02,0
2025-03-05,2701.79,2718.03,2693.67,2707.20,0
2025-03-06,2705.12,2721.38,2696.99,2710.54,0
2025-03-07,2708.56,2724.85,2700.42,2713.99,0
2025-03-10,2712.09,2728.40,2703.94,2717.53,0
2025-03-11,2708.50,2724.79,2700.36,2713.93,0
2025-03-12,2712.08,2728.38,2703.92,2717.51,0
2025-03-13,2715.63,2731.95,2707.46,2721.07,0
2025-03-14,2719.11,2735.46,2710.94,2724.56,0
2025-03-17,2722.51,2738.88,2714.32,2727.96,0
2025-03-18,2725.77,2742.16,2717.58,2731.24,0
2025-03-19,2728.88,2745.29,2720.68,2734.35,0
2025-03-20,2731.81,2748.23,2723.59,2737.28,0
2025-03-21,2734.52,2750.96,2726.30,2740.00,0
2025-03-24,2737.00,2753.46,2728.77,2742.49,0
2025-03-25,2739.23,2755.70,2731.00,2744.72,0
2025-03-26,2733.96,2750.40,2725.75,2739.44,0
2025-03-27,2735.65,2752.10,2727.43,2741.13,0
2025-03-28,2737.06,2753.51,2728.83,2742.54,0
2025-03-31,2738.18,2754.64,2729.95,2743.67,0
2025-04-01,2739.03,2755.49,2730.79,2744.52,0
2025-04-02,2739.60,2756.07,2731.37,2745.09,0
2025-04-03,2739.91,2756.39,2731.68,2745.41,0
2025-04-04,2739.98,2756.46,2731.75,2745.47,0
2025-04-07,2739.83,2756.30,2731.59,2745.32,0
2025-04-08,2739.47,2755.94,2731.24,2744.96,0
2025-04-09,2738.94,2755.41,2730.71,2744.43,0
2025-04-10,2731.04,2747.46,2722.83,2736.51,0
2025-04-11,2730.26,2746.67,2722.05,2735.73,0
2025-04-14,2729.40,2745.81,2721.20,2734.87,0
2025-04-15,2728.51,2744.91,2720.31,2733.98,0
2025-04-16,2727.62,2744.01,2719.42,2733.08,0
2025-04-17,2726.76,2743.16,2718.57,2732.23,0
2025-04-18,2726.00,2742.38,2717.80,2731.46,0
2025-04-21,2725.35,2741.73,2717.15,2730.81,0
2025-04-22,2724.86,2741.24,2716.67,2730.32,0
2025-04-23,2724.57,2740.95,2716.38,2730.03,0
2025-04-24,2724.52,2740.90,2716.33,2729.98,0
2025-04-25,2717.55,2733.89,2709.38,2723.00,0
2025-04-28,2718.08,2734.42,2709.91,2723.53,0
2025-04-29,2718.94,2735.29,2710.77,2724.39,0
2025-04-30,2720.17,2736.52,2711.99,2725.62,0
2025-05-01,2721.78,2738.14,2713.60,2727.24,0
2025-05-02,2723.80,2740.18,2715.61,2729.26,0
2025-05-05,2726.25,2742.64,2718.05,2731.71,0
2025-05-06,2729.13,2745.53,2720.92,2734.60,0
2025-05-07,2732.45,2748.88,2724.24,2737.93,0
2025-05-08,2736.23,2752.68,2728.00,2741.71,0
2025-05-09,2740.45,2756.93,2732.22,2745.95,0
2025-05-12,2737.89,2754.35,2729.66,2743.37,0
2025-05-13,2742.98,2759.47,2734.73,2748.48,0
2025-05-14,2748.49,2765.01,2740.23,2754.00,0
2025-05-15,2754.40,2770.96,2746.12,2759.92,0
2025-05-16,2760.70,2777.29,2752.40,2766.23,0
2025-05-19,2767.34,2783.98,2759.03,2772.89,0
2025-05-20,2774.32,2791.00,2765.98,2779.88,0
2025-05-21,2781.58,2798.31,2773.22,2787.16,0
2025-05-22,2789.11,2805.87,2780.72,2794.70,0
2025-05-23,2796.85,2813.66,2788.44,2802.45,0
2025-05-26,2804.76,2821.62,2796.33,2810.38,0
2025-05-27,2805.41,2822.27,2796.97,2811.03,0
2025-05-28,2813.53,2830.44,2805.07,2819.16,0
2025-05-29,2821.69,2838.65,2813.21,2827.34,0
2025-05-30,2829.85,2846.86,2821.34,2835.52,0
2025-06-02,2837.96,2855.02,2829.43,2843.65,0
2025-06-03,2845.98,2863.09,2837.42,2851.68,0
2025-06-04,2853.86,2871.02,2845.28,2859.58,0
2025-06-05,2861.57,2878.77,2852.97,2867.30,0
2025-06-06,2869.06,2886.30,2860.43,2874.80,0
2025-06-09,2876.29,2893.58,2867.64,2882.05,0
